filename,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var
1980\segment_1.wav,0.30902147,0.08991744,1870.9690693021669,398857.0212226393,2196.285268245181,171744.16513373912,4017.2445381637167,2297394.8724600403,0.07638239953551718,0.0016024929990073066
1980\segment_10.wav,0.39471486,0.09077413,2023.7920536590773,923491.7704072066,2634.705267427909,407501.8251892432,4794.0682106606555,5322140.267808115,0.06171473754677715,0.004411150925097848
1980\segment_11.wav,0.3913583,0.08568064,2947.6074296384386,560160.0684870515,2545.0878930781364,112177.14563549966,5750.963100680327,1654450.0254246201,0.16382188027385702,0.005235030209020505
1980\segment_12.wav,0.36215642,0.09092755,2174.0604775545817,427401.69253535237,2241.8124928912052,151875.782624293,4319.634220535183,1931668.5487521917,0.10785274674628734,0.0032598864049317423
1980\segment_13.wav,0.3792752,0.08809576,1343.3901367188432,407222.3324658967,1948.7711790801802,214148.1675708089,2730.753347742547,2736808.4611703353,0.04913621770034941,0.0017032546740625028
1980\segment_14.wav,0.25414446,0.091024205,2034.330942226246,748609.3479869862,2252.768297293097,288773.8068376214,4273.722074053974,3452844.1662834967,0.09119318439495452,0.003893052497712097
1980\segment_15.wav,0.3222256,0.086588934,1798.085771952748,576405.8872127588,1910.4487621249796,347188.42213612207,3643.4641368353546,1985993.2118727611,0.08923869075382018,0.004532487270230008
1980\segment_16.wav,0.3185267,0.08732245,1503.0822529455195,333587.94847053685,1994.887305769082,154163.12065963558,3123.563528368245,1819282.3178282296,0.06565607537752025,0.0024442727005602716
1980\segment_17.wav,0.330741,0.0947931,2588.437178195843,258420.81942824836,2463.9336512890613,90133.64167969862,5238.554684435794,1124568.3947463974,0.12868848708294112,0.0019609483598745504
1980\segment_18.wav,0.30752265,0.08837154,1835.0656801757764,714050.2018210853,2242.8831491770147,305956.40521979536,3935.2065690601144,4212500.823085598,0.07805418058206107,0.0028065275091298425
1980\segment_19.wav,0.34987843,0.08833349,2001.01232650843,754719.5194739694,2344.029364868744,230247.5801238521,4339.577091669146,3325335.5367346057,0.08571996954084189,0.004284590309773257
1980\segment_2.wav,0.3231541,0.08704425,1567.3217855791743,433299.67958687263,2017.0805216686942,203297.5490164424,3278.3347140940346,2134359.2150444263,0.06330391558795434,0.0018822617970104137
1980\segment_20.wav,0.33001673,0.08382387,1747.1883237745826,340070.08367220877,2223.2308014756827,139763.4691087171,3696.8744101403163,1664308.647809662,0.06793299071422969,0.0022089429825034013
1980\segment_21.wav,0.31836206,0.08509458,1527.7379317797622,300023.27519293677,1777.683685027377,132882.81461906157,3111.64451764464,1305653.5783351369,0.07568691950464396,0.0019125691397754623
1980\segment_22.wav,0.3468332,0.088143155,2672.9541909478176,937152.9375237841,2773.575737147238,185401.4382558745,5990.155084333084,3077836.372788868,0.11694099281799482,0.007372999207182107
1980\segment_23.wav,0.31032863,0.09395646,2603.3128888662895,662341.9865494707,2584.2504726407,162744.31534839713,5465.103755552342,2582935.2874080343,0.12041216841203849,0.005016584813242869
1980\segment_24.wav,0.294914,0.0941826,2321.1187420506344,801397.1719820381,2487.7324355529736,182112.28680226902,4935.077474452777,3106193.939289712,0.09825043059021374,0.005201023868232597
1980\segment_25.wav,0.37507114,0.0888816,1507.4277563000537,912595.7691466905,2039.7268823963798,354680.1202211051,3147.375560671927,3929874.0228684465,0.05231568695660368,0.00410548487017471
1980\segment_26.wav,0.27787545,0.08626015,1827.8671213983907,442121.44308276096,2248.3657165348413,202434.69798669268,3924.3924730241033,2353689.392348616,0.07203678726021424,0.0016157553428425822
1980\segment_27.wav,0.31785533,0.088548645,2102.325106627807,437873.146674811,2321.534006256563,115683.789687863,4413.201281489158,1740354.6492029284,0.09130020491136506,0.002285375891136052
1980\segment_28.wav,0.36502042,0.082820185,2007.1179690218223,252548.3930011241,2198.861706779048,106475.53950878613,4112.256117777861,1151778.2585749615,0.09868785831863308,0.001771714265277446
1980\segment_29.wav,0.36329833,0.08921673,2616.6563788333538,556015.4304176775,2687.5914637537808,169530.66257720493,5689.689901777918,2264884.672289737,0.12170121722185125,0.004304951458400052
1980\segment_3.wav,0.3479378,0.08701905,2133.091306499722,356264.7883051217,2557.5012240423744,145054.5498247031,4856.011099100699,1862652.7391273838,0.07558659733952702,0.0013844485887770904
1980\segment_30.wav,0.33274734,0.08926432,2375.428080659498,477768.70219294395,2300.5910604949813,121920.87366701794,4741.949382369311,1690981.3883110108,0.12587392466468778,0.004248488056660426
1980\segment_31.wav,0.29044414,0.090098985,1649.9777493446563,246213.16976015765,2020.082513239797,122956.9096754989,3339.270536804073,1251352.468969402,0.07168943773841115,0.0011141712061472132
1980\segment_32.wav,0.25579825,0.08961196,1413.7926828629072,629265.7214639824,1669.2245288229672,338946.01777119807,2758.1423721525207,2796355.873811204,0.064789998410037,0.002463121453904644
1980\segment_33.wav,0.31382498,0.08553935,2034.2016111578196,352200.0508405944,2347.2628743931223,221756.52723562886,4625.7112674074515,1706617.1505285143,0.08382276185277807,0.001584081119139267
1980\segment_34.wav,0.2612165,0.088683456,1829.5539189598014,596164.0300430082,2140.0309658366323,204550.9522448067,3675.617100476545,2638371.5236081234,0.08935015745934002,0.0036400644682385978
1980\segment_35.wav,0.2788014,0.09448457,2387.760046726873,828202.636239456,2465.3897203181878,190631.25426659986,4959.539940316709,3170297.820753175,0.10978333249572822,0.006052568823589934
1980\segment_36.wav,0.2959222,0.08795578,1579.9044107849124,310152.65570959874,2015.5860561405066,190328.62135572167,3250.9522493220556,1602958.4772010378,0.06324976441054211,0.000972132666337539
1980\segment_37.wav,0.26602963,0.092109755,2141.5505474695883,474583.34859804873,2231.7178561824094,217425.7214083728,4230.665376846866,2468763.6962848143,0.10538894441440928,0.0021387737621056963
1980\segment_38.wav,0.2541503,0.08859479,1561.979225350618,510375.58676857944,2001.4758288388641,242017.2087376379,3174.435651794938,2954742.168886997,0.06551135594992129,0.0018896063324393825
1980\segment_39.wav,0.32425785,0.088701,1813.945999026036,554823.4934917392,2335.4780201774415,228541.7932222464,4113.718265849725,3169182.601976626,0.06588450785215735,0.003023605751958712
1980\segment_4.wav,0.28596187,0.0848206,2073.3388160627246,672069.8393801472,2262.5805607123984,209363.54071148636,4304.908893453664,3115237.8606336857,0.09935397210249042,0.00331937664874933
1980\segment_5.wav,0.27852628,0.08893398,2060.9343151052353,514630.92475463805,2235.1978505859815,120947.4899534242,4145.946981099382,1758314.3855774722,0.0982896172587858,0.004047869552973127
1980\segment_6.wav,0.3064068,0.08850575,1970.6391701715252,281715.37106108695,2313.878729738999,120842.02349063399,4237.6010456977865,1681308.5431664682,0.08862738702155641,0.0018725243714051059
1980\segment_7.wav,0.334987,0.08873697,2822.825281639936,485209.6776467631,2690.4948893070537,78041.86441169404,5910.137845963826,1310021.3383230204,0.14079802939992098,0.005194163224725658
1980\segment_8.wav,0.3092712,0.08970541,1733.962272129329,445509.07628444466,2128.7238982243157,289480.282147208,3682.1399115094305,2520335.185649527,0.07149410631854597,0.0018830036858452181
1980\segment_9.wav,0.38967717,0.08771002,2879.636938343088,476380.0969350491,2795.307400386153,104647.55541071347,6220.035935677286,1659258.8388529262,0.13640015475711031,0.003884914781077643
